ticker,sector
AA,Materials
AAL,Industrials
AAON,Industrials
ACI,Consumer Staples
ACM,Industrials
ADC,Real Estate
AEIS,Information Technology
AFG,Financials
AGCO,Industrials
AHR,Real Estate
AIT,Industrials
ALGM,Information Technology
ALK,Industrials
ALLY,Financials
ALV,Consumer Discretionary
AM,Energy
AMG,Financials
AMH,Real Estate
AMKR,Information Technology
AN,Consumer Discretionary
ANF,Consumer Discretionary
APG,Industrials
APPF,Information Technology
AR,Energy
ARMK,Consumer Discretionary
ARW,Information Technology
ARWR,Health Care
ASB,Financials
ASH,Materials
ATI,Industrials
ATR,Materials
AVAV,Industrials
AVNT,Materials
AVT,Information Technology
AVTR,Health Care
AXTA,Materials
AYI,Industrials
BAH,Industrials
BBWI,Consumer Discretionary
BC,Consumer Discretionary
BCO,Industrials
BDC,Information Technology
BHF,Financials
BILL,Information Technology
BIO,Health Care
BJ,Consumer Staples
BKH,Utilities
BLD,Consumer Discretionary
BMRN,Health Care
BRKR,Health Care
BROS,Consumer Discretionary
BRX,Real Estate
BSY,Information Technology
BURL,Consumer Discretionary
BWA,Consumer Discretionary
BWXT,Industrials
BYD,Consumer Discretionary
CACI,Industrials
CAR,Industrials
CART,Consumer Staples
CAVA,Consumer Discretionary
CBSH,Financials
CBT,Materials
CCK,Materials
CDE,Materials
CDP,Real Estate
CELH,Consumer Staples
CFR,Financials
CG,Financials
CGNX,Information Technology
CHDN,Consumer Discretionary
CHE,Health Care
CHH,Consumer Discretionary
CHRD,Energy
CHWY,Consumer Discretionary
CLF,Materials
CLH,Industrials
CMC,Materials
CNH,Industrials
CNM,Industrials
CNO,Financials
CNX,Energy
COKE,Consumer Staples
COLB,Financials
COLM,Consumer Discretionary
CPRI,Consumer Discretionary
CR,Industrials
CRBG,Financials
CROX,Consumer Discretionary
CRS,Industrials
CRUS,Information Technology
CSL,Industrials
CTRE,Real Estate
CUBE,Real Estate
CUZ,Real Estate
CVLT,Information Technology
CW,Industrials
CXT,Information Technology
CYTK,Health Care
DAR,Consumer Staples
DBX,Information Technology
DCI,Industrials
DINO,Energy
DKS,Consumer Discretionary
DLB,Information Technology
DOCN,Information Technology
DOCS,Health Care
DOCU,Information Technology
DT,Information Technology
DTM,Energy
DUOL,Consumer Discretionary
DY,Industrials
EEFT,Financials
EGP,Real Estate
EHC,Health Care
ELAN,Health Care
ELF,Consumer Staples
ELS,Real Estate
ENS,Industrials
ENSG,Health Care
ENTG,Information Technology
EPR,Real Estate
EQH,Financials
ESAB,Industrials
ESNT,Financials
EVR,Financials
EWBC,Financials
EXEL,Health Care
EXLS,Industrials
EXP,Materials
EXPO,Industrials
FAF,Financials
FBIN,Industrials
FCFS,Financials
FCN,Industrials
FFIN,Financials
FHI,Financials
FHN,Financials
FIVE,Consumer Discretionary
FLG,Financials
FLR,Industrials
FLS,Industrials
FN,Information Technology
FNB,Financials
FND,Consumer Discretionary
FNF,Financials
FOUR,Financials
FR,Real Estate
FTI,Energy
G,Industrials
GAP,Consumer Discretionary
GATX,Industrials
GBCI,Financials
GEF,Materials
GGG,Industrials
GHC,Consumer Discretionary
GLPI,Real Estate
GME,Consumer Discretionary
GMED,Health Care
GNTX,Consumer Discretionary
GPK,Materials
GT,Consumer Discretionary
GTLS,Industrials
GWRE,Information Technology
GXO,Industrials
H,Consumer Discretionary
HAE,Health Care
HALO,Health Care
HGV,Consumer Discretionary
HIMS,Health Care
HL,Materials
HLI,Financials
HLNE,Financials
HOG,Consumer Discretionary
HOMB,Financials
HQY,Health Care
HR,Real Estate
HRB,Consumer Discretionary
